"full_name","pdes","a","e","i","om","w","ma","epoch_mjd"
"     1 Ceres (A801 AA)",1,2.767254360873952,.0789125317658808,10.5868796009696,80.25497772273573,73.42179714001003,60.0787728227207,60200
"     2 Pallas (A802 FA)",2,2.770127478789689,.2302291205337655,34.92583569687742,172.9188063580106,310.8728895656645,40.59807483982662,60200
"     3 Juno (A804 RA)",3,2.669263107149246,.2562134635134289,12.99055194378932,169.8391667366867,247.737933907518,37.02311341023957,60200
"     4 Vesta (A807 FA)",4,2.361922083328795,.08944909117827099,7.142176968213055,103.7099923672372,151.6622800356213,169.3518013373338,60200
"     5 Astraea (A845 XA)",5,2.5768859491738,.187439019096015,5.358657262727356,141.4690012627987,359.1367402246138,303.3980245657571,60200
"     6 Hebe (A847 NA)",6,2.425616429760826,.2026690806426626,14.73599024416998,138.6364222287955,239.5857261608267,144.002798245033,60200
"     7 Iris (A847 PA)",7,2.3867352244153,.2297678817649948,5.518704120039901,259.49837871756,145.4437071615264,207.8984570598599,60200
"     8 Flora (A847 UA)",8,2.201181136152867,.1565006056171466,5.889162690232197,110.8630987655121,285.6029716485701,317.2863496431091,60200
"     9 Metis (A848 HA)",9,2.386658272081398,.1231487161866886,5.577849141912224,68.86859613491036,5.747918918515977,345.4283175292959,60200
"    10 Hygiea (A849 GA)",10,3.139943145080762,.1110224585403432,3.831825288522495,283.1735818881358,312.4833794004088,75.17819839481271,60200
"    11 Parthenope (A850 JA)",11,2.452639993629442,.09932238589018912,4.631543933608665,125.5173955895457,195.8223991165276,329.0919603856256,60200
"    12 Victoria (A850 RA)",12,2.333703937169256,.2203585934481103,8.373975592862434,235.3582303927205,69.6033124814022,215.7584298915492,60200
"    13 Egeria (A850 VA)",13,2.575581269658085,.08562936471376788,16.53662655580829,43.20796149625232,79.82670622579617,209.6225016073332,60200
"    14 Irene (A851 KA)",14,2.587981711588863,.1647908990618868,9.119501282339096,86.07614183469248,97.86069118629253,184.1343787517901,60200
"    15 Eunomia (A851 OA)",15,2.642676432209622,.1871007027156865,11.75485024723986,292.9065219667657,98.75998155488109,289.9856954102846,60200
"    16 Psyche (A852 FA)",16,2.923662128456563,.1341931447944021,3.096815244138823,150.02696940,229.4104409693524,243.1552879097505,60200
"    17 Thetis (A852 HA)",17,2.471082981030183,.1324565982282356,5.591995655848779,125.5349518549514,135.7165583304552,349.8849174079352,60200
"    18 Melpomene (A852 MA)",18,2.295862694186606,.2183934179306267,10.13154347160411,150.3556109584573,228.1499762297792,.3995268899913371,60200
"    19 Fortuna (A852 QA)",19,2.442284101752813,.1573430650696695,1.57358303187692,211.0391994757813,182.5925988497237,249.83458254863,60200
"    20 Massalia (A852 SA)",20,2.408180286960863,.1434678201737774,.7092780623167506,205.9792203951884,257.4704947668284,178.7695083662053,60200
"    21 Lutetia (A852 VA)",21,2.435731829888852,.1640106072425365,3.06392271145555,80.84351457437207,250.2991540826286,38.89443649835491,60200
"    22 Kalliope (A852 WA)",22,2.91120375977687,.09872237757667662,13.70116626231914,65.97511695610314,357.8325855866904,152.305719844901,60200
"    23 Thalia (A852 XA)",23,2.627898459968506,.2308727523041601,10.10937818499611,66.49270904020196,61.53208040121629,345.3045713986651,60200
"    24 Themis (A853 GA)",24,3.149407372339815,.1164819189618832,.7389776153996838,36.49768464737053,108.0581472045451,276.2979442988645,60200
"    25 Phocaea (A853 GB)",25,2.40014672556831,.2544538773263736,21.60936754064621,214.0927455232094,90.24195526979567,237.1613423556395,60200
"    26 Proserpina (A853 JA)",26,2.655445563385344,.08893723261559516,3.562779465659724,45.76223482483094,193.9891474700957,109.7166007141242,60200
"    27 Euterpe (A853 VA)",27,2.347209312175694,.1713306223336338,1.583331069669913,94.76828032487302,356.3963070000624,53.9326423111612,60200
"    28 Bellona (A854 EA)",28,2.777880023764536,.1504888399234282,9.424364254594513,144.2740512586481,343.5268227862892,255.0777766980946,60200
"    29 Amphitrite (A854 EB)",29,2.554870293828639,.07383408002949859,6.081519350698064,356.3306490890873,62.70427935376955,311.1790363534272,60200
"    30 Urania (A854 OA)",30,2.365350007512714,.1271106360937179,2.093728731339887,307.4237731433593,86.96365954625699,103.0773766223492,60200
"    31 Euphrosyne (A854 RA)",31,3.159154890202263,.2159173538590937,26.3209100871342,30.79788853397355,61.76721912202003,7.755182842341485,60200
"    32 Pomona (A854 UA)",32,2.587577674564402,.08163080677677192,5.522117950010362,220.3643273245369,338.3785093084442,51.96517290539625,60200
"    33 Polyhymnia (A854 UB)",33,2.873328116623456,.3316915440415503,1.852219723013952,8.437354810466832,338.5932193961021,305.3634723134426,60200
"    34 Circe (A855 GA)",34,2.686370381315958,.1066555912323191,5.497388456488581,184.3311969191159,329.948105456406,125.5311575489166,60200
"    35 Leukothea (A855 HA)",35,3.000653290455523,.2229264082011565,7.916448861409386,353.7055109959894,214.0321079475367,158.9518463354772,60200
"    36 Atalante (A855 TA)",36,2.745166951655519,.3061687975442033,18.37395962248503,358.1950543498272,47.83960414475626,286.1133815993468,60200
"    37 Fides (A855 TB)",37,2.643308003851865,.1754434666071756,3.068796896586714,7.255886606498864,62.18992576875145,349.399522110879,60200
"    38 Leda (A856 AA)",38,2.741220476004505,.1508935256774943,6.951501496498631,295.5078350343445,169.5274522607166,352.3381044689877,60200
"    39 Laetitia (A856 CA)",39,2.768768855456988,.1119827112479993,10.37051840955167,156.9307866264447,209.8125480005876,283.018279199275,60200
"    40 Harmonia (A856 FA)",40,2.26754126210673,.04621041215405831,4.255531835527174,94.15860747618079,269.071530893087,210.1161210123099,60200
"    41 Daphne (A856 KA)",41,2.763160251565294,.273981422737044,15.78455687610768,178.0568416909535,46.10771972673478,117.8160727366298,60200
"    42 Isis (A856 KB)",42,2.442933220752448,.2222180555000911,8.510631969206074,84.16936234378369,237.2453176079437,256.6996459689493,60200
"    43 Ariadne (A857 GA)",43,2.203066922620481,.1686216593349947,3.470420631226766,264.7538553203338,16.17953826879279,260.3332651774473,60200
"    44 Nysa (A857 KA)",44,2.42279710487075,.1492586312872523,3.711624169344791,131.4902674162932,344.1353907328163,139.8187503941794,60200
"    45 Eugenia (A857 MA)",45,2.720379647460142,.0831937565603889,6.605134993435425,147.5872515793948,87.48924964383818,30.53633749133779,60200
